OUT	Irinda	Baikalsk	Accession number	Ident,%	Species	Taxonomy	Groups	Groups of SAR
OTU_1088	5	0	NR_158282	100	Neoascochyta cylindrispora	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Neoascochyta"	Fungi	Fungi
OTU_1098	2	0	MF570515	95.52	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1106	0	4	MF570669	95.56	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1115	0	2	KP234368	98.97	Articulospora tetracladia	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Articulospora"	Fungi	Fungi
OTU_1121	2	2	MF971539	97.09	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1142	0	2	KJ472290	94.14	Hymenoscyphus calyculus	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Hymenoscyphus"	Fungi	Fungi
OTU_1145	2	0	KP889977	95.27	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_191	77	1	MF570515	97.31	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_221	59	16	MF570739	83.99	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_234	72	0	MF570303	81.44	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_343	18	5	MF569968	89.1	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_4	9	1	MK460809	100	Cladosporium floccosum	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetidae; Capnodiales; Cladosporiaceae; Cladosporium"	Fungi	Fungi
OTU_412	18	0	MF571498	86.99	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_419	0	18	MF482832	97.71	Uncultured Entomophthoromycota	"Fungi; Zoopagomycota; Entomophthoromycotina; environmental samples"	Fungi	Fungi
OTU_433	17	0	MF569963	97.95	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_44	5	2	MK461031	100	Alternaria sp.	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria"	Fungi	Fungi
OTU_465	17	0	KC965583	97.77	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_477	14	1	MF570398	99.4	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_551	8	2	MF571161	76.82	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_563	10	0	MF569968	84.49	Uncultured fungus clone 	"Fungi; environmental samples"	Fungi	Fungi
OTU_597	2	11	AM260815	88.46	Uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_598	8	0	FJ553040	92.83	Uncultured Dothideomycetes clone	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; environmental samples"	Fungi	Fungi
OTU_600	13	5	EF585664	98.41	Betamyces americaemeridionalis 	"Fungi; Chytridiomycota; Chytridiomycetes;Rhizophydiales; Alphamycetaceae; Betamyces"	Fungi	Fungi
OTU_606	7	0	MF570676	78.83	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_627	3	4	EU516682	83.72	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_642	5	1	KX214378	100	Uncultured Tetracladium clone	"Fungi; Dikarya; Ascomycota; Ascomycota incertae sedis"	Fungi	Fungi
OTU_657	0	8	AM999746	96.46	Uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_666	0	6	GU065483	86.79	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_683	0	8	KU534713	95.65	Uncultured Rhizophydium clone	" Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; environmental samples"	Fungi	Fungi
OTU_684	0	6	MF971539	97.09	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_686	5	0	JQ666593	95.5	Uncultured soil fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_688	6	0	KY697130	98.02	Hydropunctaria rheitrophila	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Verrucariales; Verrucariaceae; Hydropunctaria"	Fungi	Fungi
OTU_695	0	6	KF297107	82.81	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_698	0	6	KU534713	97.8	Uncultured Rhizophydium clone	"Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; environmental samples"	Fungi	Fungi
OTU_7	15	6	MK461092	100	Alternaria sp.	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria"	Fungi	Fungi
OTU_701	5	0	KM493179	96.33	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_702	5	0	MF971493	93.43	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_703	10	0	KX195061	96.25	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_711	6	0	KY697130	95.38	Hydropunctaria rheitrophila	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Verrucariales; Verrucariaceae; Hydropunctaria"	Fungi	Fungi
OTU_72	1	1	KY037853	100	Filobasidium wieringae	"Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Filobasidiales; Filobasidiaceae; Filobasidium"	Fungi	Fungi
OTU_721	7	0	MF571076	89.52	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_724	2	3	MF570676	91.82	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_744	6	1	KX193387	95.5	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_745	3	2	FJ552882	89.03	Uncultured Tricholomataceae clone	"Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae; environmental samples"	Fungi	Fungi
OTU_767	0	10	MF485317 	89.44	Uncultured Glomerellales isolate soil	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Glomerellales; environmental samples"	Fungi	Fungi
OTU_772	5	7	MF569968 	86.08	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_806	0	4	KM493296	79.68	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_810	0	4	MF570555	88.47	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_815	6	0	JX029126	91.75	Tetracladium sp.	"Fungi; Dikarya; Ascomycota; Ascomycota incertae sedis; Tetracladium"	Fungi	Fungi
OTU_824	0	3	MF570992	94.12	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_887	4	0	KC966188	83.12	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_893	1	1	MG976302	100	uncultured Cryptococcus	"Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; environmental samples"	Fungi	Fungi
OTU_904	1	5	KU534713	95.65	Uncultured Rhizophydium clone	" Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; environmental samples"	Fungi	Fungi
OTU_981	3	0	MF486351	91.3	uncultured Coniochaetales	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Coniochaetales; environmental samples"	Fungi	Fungi
OTU_995	1	4	KC215944	88.61	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_997	0	6	KU534713	95.65	uncultured Rhizophydium	"Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; environmental samples"	Fungi	Fungi
OTU_1023	31	5	JQ354641	90.67	Gomphonema parvulum	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Gomphonema"	SAR	Stramenopiles
OTU_1062	2	0	GQ273992	80.29	uncultured freshwater diatom	"Stramenopiles; Bacillariophyta; environmental samples"	SAR	Stramenopiles
OTU_1111	10	9	KY421438	99	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_233	2	100	KY421438	90.26	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_275	6	41	KY421432	85.71	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_422	1	16	KY421438	91.23	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_522	9	0	MG596348	100	Eustigmatos magnus	"Stramenopiles; Eustigmatophyceae; Eustigmatales; Eustigmataceae; Eustigmatos"	SAR	Stramenopiles
OTU_553	25	62	JQ354641	90.67	Gomphonema parvulum	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Gomphonema"	SAR	Stramenopiles
OTU_626	12	56	JQ354641	91.33	Gomphonema parvulum	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Gomphonema"	SAR	Stramenopiles
OTU_629	0	9	KY421438	90.23	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_765	3	3	GQ273992	81.51	Uncultured freshwater diatom clone 	"Stramenopiles; Bacillariophyta; environmental samples"	SAR	Stramenopiles
OTU_78	571	154	KY421438	98.05	Didymosphenia geminata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Didymosphenia"	SAR	Stramenopiles
OTU_790	3	4	GQ273992	82.31	Uncultured freshwater diatom clone	"Stramenopiles; Bacillariophyta; environmental samples"	SAR	Stramenopiles
OTU_804	15	0	GQ330343	98.28	Fragilariopsis sp.	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Bacillariales; Bacillariaceae; Fragilariopsis"	SAR	Stramenopiles
OTU_860	39	37	JQ354641	90	Gomphonema parvulum	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Gomphonema"	SAR	Stramenopiles
OTU_876	8	11	KX442759	93.52	Dinobryon sp.	"Stramenopiles; Chrysophyceae; Chromulinales; Dinobryaceae; Dinobryon"	SAR	Stramenopiles
OTU_892	3	0	KJ671759	95.93	Amphiprora alata	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Naviculales; Amphipleuraceae; Amphiprora"	SAR	Stramenopiles
OTU_898	3	10	JQ354641	90.51	Gomphonema parvulum	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Gomphonemataceae; Gomphonema"	SAR	Stramenopiles
OTU_947	2	0	MG596348	100	Eustigmatos magnus	" Stramenopiles; Eustigmatophyceae; Eustigmatales; Eustigmataceae; Eustigmatos"	SAR	Stramenopiles
OTU_969	3	0	GQ330343	98.28	Fragilariopsis sp. CCMP2038	"Stramenopiles; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Bacillariales; Bacillariaceae; Fragilariopsis"	SAR	Stramenopiles
OTU_1122	5	0	0	0	Unclussified	Unclussified	Unclussified	Unclussified
OTU_392	57	0	KY932451	95.39	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_406	3	45	AY882930	96.52	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_508	19	0	AY882930	95.65	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_540	41	1	AY882930	96.52	Uncultured eukaryote clone 	Unclussified	Unclussified	Unclussified
OTU_693	6	0	AY882930	97.39	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_709	2	10	KY932451	94.12	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_827	8	0	AY882930	96.52	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
OTU_859	5	2	HG008777	86.24	Uncultured eukaryote	Unclussified	Unclussified	Unclussified
OTU_926	3	0	0	0	Unclussified	Unclussified	Unclussified	Unclussified
OTU_992	6	0	GU941690	89.12	Uncultured eukaryote clone	Unclussified	Unclussified	Unclussified
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
OTU	E01 Иринда	E02 Байкальск		Ident %				
